,name,subregion,population,population_year
130,Montenegro,Southern Europe,622137.0,2019
131,Bosnia and Herz.,Southern Europe,3301000.0,2019
132,Uganda,Eastern Africa,44269594.0,2019
133,USNB Guantanamo Bay,Caribbean,6000.0,2018
134,Cuba,Caribbean,11333483.0,2019
135,Honduras,Central America,9746117.0,2019
136,Ecuador,South America,17373662.0,2019
137,Colombia,South America,50339443.0,2019
138,Paraguay,South America,7044636.0,2019
139,Brazilian I.,South America,0.0,2019
140,Portugal,Southern Europe,10269417.0,2019
141,Moldova,Eastern Europe,2657637.0,2019
142,Turkmenistan,Central Asia,5942089.0,2019
143,Jordan,Western Asia,10101694.0,2019
144,Nepal,Southern Asia,28608710.0,2019
145,Lesotho,Southern Africa,2125268.0,2019
146,Cameroon,Middle Africa,25876380.0,2019
147,Gabon,Middle Africa,2172579.0,2019
148,Niger,Western Africa,23310715.0,2019
149,Burkina Faso,Western Africa,20321378.0,2019
150,Togo,Western Africa,8082366.0,2019
151,Ghana,Western Africa,30417856.0,2019
152,Guinea-Bissau,Western Africa,1920922.0,2019
153,Gibraltar,Southern Europe,33701.0,2019
154,United States of America,Northern America,328239523.0,2019
155,Canada,Northern America,37589262.0,2019
156,Mexico,Central America,127575529.0,2019
157,Belize,Central America,390353.0,2019
158,Panama,Central America,4246439.0,2019
159,Venezuela,South America,28515829.0,2019
160,Papua New Guinea,Melanesia,8776109.0,2019
161,Egypt,Northern Africa,100388073.0,2019
162,Yemen,Western Asia,29161922.0,2019
163,Mauritania,Western Africa,4525696.0,2019
164,Eq. Guinea,Middle Africa,1355986.0,2019
165,Gambia,Western Africa,2347706.0,2019
166,Hong Kong,Eastern Asia,7507400.0,2019
167,Vatican,Southern Europe,825.0,2019
168,N. Cyprus,Western Asia,326000.0,2017
169,Cyprus U.N. Buffer Zone,Western Asia,10000.0,2019
170,Siachen Glacier,Southern Asia,6000.0,2013
171,Baikonur,Central Asia,36175.0,2009
172,Akrotiri,Western Asia,7850.0,2017
173,Southern Patagonian Ice Field,South America,0.0,2019
174,Bir Tawil,Northern Africa,0.0,2019
175,Antarctica,Antarctica,4490.0,2019
176,Australia,Australia and New Zealand,25364307.0,2019
177,Greenland,Northern America,56225.0,2019
178,Fiji,Melanesia,889953.0,2019
179,New Zealand,Australia and New Zealand,4917000.0,2019
180,New Caledonia,Melanesia,287800.0,2019
181,Madagascar,Eastern Africa,26969307.0,2019
182,Philippines,South-Eastern Asia,108116615.0,2019
183,Sri Lanka,Southern Asia,21803000.0,2019
184,Curaçao,Caribbean,157538.0,2019
185,Aruba,Caribbean,106314.0,2019
186,Bahamas,Caribbean,389482.0,2019
187,Turks and Caicos Is.,Caribbean,38191.0,2019
188,Taiwan,Eastern Asia,23568378.0,2020
189,Japan,Eastern Asia,126264931.0,2019
190,St. Pierre and Miquelon,Northern America,5997.0,2017
191,Iceland,Northern Europe,361313.0,2019
192,Pitcairn Is.,Polynesia,54.0,2016
193,Fr. Polynesia,Polynesia,279287.0,2019
194,Fr. S. Antarctic Lands,Seven seas (open ocean),140.0,2017
195,Seychelles,Eastern Africa,97625.0,2019
196,Kiribati,Micronesia,117606.0,2019
197,Marshall Is.,Micronesia,58791.0,2019
198,Trinidad and Tobago,Caribbean,1394973.0,2019
199,Grenada,Caribbean,112003.0,2019
200,St. Vin. and Gren.,Caribbean,110589.0,2019
201,Barbados,Caribbean,287025.0,2019
202,Saint Lucia,Caribbean,182790.0,2019
203,Dominica,Caribbean,71808.0,2019
204,U.S. Minor Outlying Is.,Seven seas (open ocean),300.0,2017
205,Montserrat,Caribbean,4649.0,2019
206,Antigua and Barb.,Caribbean,97118.0,2019
207,St. Kitts and Nevis,Caribbean,52834.0,2019
208,U.S. Virgin Is.,Caribbean,106631.0,2019
209,St-Barthélemy,Caribbean,9961.0,2017
210,Puerto Rico,Caribbean,3193694.0,2019
211,Anguilla,Caribbean,14731.0,2018
212,British Virgin Is.,Caribbean,30030.0,2019
213,Jamaica,Caribbean,2948279.0,2019
214,Cayman Is.,Caribbean,64948.0,2019
215,Bermuda,Northern America,63918.0,2019
216,Heard I. and McDonald Is.,Seven seas (open ocean),0.0,2019
217,Saint Helena,Western Africa,4534.0,2016
218,Mauritius,Eastern Africa,1265711.0,2019
219,Comoros,Eastern Africa,850886.0,2019
220,São Tomé and Principe,Middle Africa,215056.0,2019
221,Cabo Verde,Western Africa,549935.0,2019
222,Malta,Southern Europe,502653.0,2019
223,Jersey,Northern Europe,107800.0,2019
224,Guernsey,Northern Europe,62792.0,2019
225,Isle of Man,Northern Europe,84584.0,2019
226,Åland,Northern Europe,29884.0,2019
227,Faeroe Is.,Northern Europe,48678.0,2019
228,Indian Ocean Ter.,Seven seas (open ocean),2387.0,2016
229,Br. Indian Ocean Ter.,Seven seas (open ocean),3000.0,2018
230,Singapore,South-Eastern Asia,5703569.0,2019
231,Norfolk Island,Australia and New Zealand,2169.0,2011
232,Cook Is.,Polynesia,17459.0,2016
233,Tonga,Polynesia,104494.0,2019
234,Wallis and Futuna Is.,Polynesia,11558.0,2018
235,Samoa,Polynesia,197097.0,2019
236,Solomon Is.,Melanesia,669823.0,2019
237,Tuvalu,Polynesia,11646.0,2019
238,Maldives,Southern Asia,530953.0,2019
239,Nauru,Micronesia,12581.0,2019
240,Micronesia,Micronesia,113815.0,2019
241,S. Geo. and the Is.,Seven seas (open ocean),30.0,2017
242,Falkland Is.,South America,3398.0,2016
243,Vanuatu,Melanesia,299882.0,2019
244,Niue,Polynesia,1620.0,2018
245,American Samoa,Polynesia,55312.0,2019
246,Palau,Micronesia,18008.0,2019
247,Guam,Micronesia,167294.0,2019
248,N. Mariana Is.,Micronesia,57216.0,2019
249,Bahrain,Western Asia,1641172.0,2019
250,Coral Sea Is.,Australia and New Zealand,4.0,2019
251,Spratly Is.,South-Eastern Asia,100.0,2017
252,Clipperton I.,Central America,0.0,2019
253,Macao,Eastern Asia,640445.0,2019
254,Ashmore and Cartier Is.,Australia and New Zealand,0.0,2019
255,Bajo Nuevo Bank,Caribbean,0.0,2019
256,Serranilla Bank,Caribbean,0.0,2019
257,Scarborough Reef,South-Eastern Asia,0.0,2019
